,song,singer,id,url,preview_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
2594,I Fall to Pieces,Patsy Cline,6zFsz86nAj5gcvzyVqNL3k,https://open.spotify.com/track/6zFsz86nAj5gcvzyVqNL3k,,0.54,0.0568,10.0,-20.508,1.0,0.0351,0.917,1.01e-06,0.12,0.506,111.791,audio_features,6zFsz86nAj5gcvzyVqNL3k,spotify:track:6zFsz86nAj5gcvzyVqNL3k,https://api.spotify.com/v1/tracks/6zFsz86nAj5gcvzyVqNL3k,https://api.spotify.com/v1/audio-analysis/6zFsz86nAj5gcvzyVqNL3k,171333.0,4.0,False,12
2595,All Of You,Karin Krog,7B6OFEmDdVSlYvgShCaj2X,https://open.spotify.com/track/7B6OFEmDdVSlYvgShCaj2X,,0.536,0.27,5.0,-18.659,0.0,0.0447,0.784,0.000428,0.0772,0.476,95.726,audio_features,7B6OFEmDdVSlYvgShCaj2X,spotify:track:7B6OFEmDdVSlYvgShCaj2X,https://api.spotify.com/v1/tracks/7B6OFEmDdVSlYvgShCaj2X,https://api.spotify.com/v1/audio-analysis/7B6OFEmDdVSlYvgShCaj2X,311773.0,4.0,False,12
2596,GLOWED UP ,KAYTRANADA ,4v20N4W83XDJORt7WCedII,https://open.spotify.com/track/4v20N4W83XDJORt7WCedII,,0.678,0.62,1.0,-10.024,1.0,0.321,0.036,0.00557,0.138,0.433,135.553,audio_features,4v20N4W83XDJORt7WCedII,spotify:track:4v20N4W83XDJORt7WCedII,https://api.spotify.com/v1/tracks/4v20N4W83XDJORt7WCedII,https://api.spotify.com/v1/audio-analysis/4v20N4W83XDJORt7WCedII,298027.0,4.0,False,11
2597,Name,Goo Goo Dolls ,1G8jae4jD8mwkXdodqHsBM,https://open.spotify.com/track/1G8jae4jD8mwkXdodqHsBM,,0.464,0.701,9.0,-5.943,1.0,0.0341,0.0691,0.00182,0.0766,0.407,73.97,audio_features,1G8jae4jD8mwkXdodqHsBM,spotify:track:1G8jae4jD8mwkXdodqHsBM,https://api.spotify.com/v1/tracks/1G8jae4jD8mwkXdodqHsBM,https://api.spotify.com/v1/audio-analysis/1G8jae4jD8mwkXdodqHsBM,270000.0,4.0,False,2
2598,The Sky Was Pink ,Nathan Fake,2oeEq7M17OE5rqcYYYHZet,https://open.spotify.com/track/2oeEq7M17OE5rqcYYYHZet,,0.786,0.537,1.0,-12.975,0.0,0.0595,0.000263,0.899,0.0817,0.0916,123.958,audio_features,2oeEq7M17OE5rqcYYYHZet,spotify:track:2oeEq7M17OE5rqcYYYHZet,https://api.spotify.com/v1/tracks/2oeEq7M17OE5rqcYYYHZet,https://api.spotify.com/v1/audio-analysis/2oeEq7M17OE5rqcYYYHZet,570587.0,3.0,False,10
2600,Yoko,Ace Troubleshooter,5o0QY8FpC7fv5GCPtXlpvJ,https://open.spotify.com/track/5o0QY8FpC7fv5GCPtXlpvJ,,0.402,0.92,2.0,-5.378,1.0,0.0534,0.00284,3e-06,0.0916,0.614,97.856,audio_features,5o0QY8FpC7fv5GCPtXlpvJ,spotify:track:5o0QY8FpC7fv5GCPtXlpvJ,https://api.spotify.com/v1/tracks/5o0QY8FpC7fv5GCPtXlpvJ,https://api.spotify.com/v1/audio-analysis/5o0QY8FpC7fv5GCPtXlpvJ,194640.0,4.0,False,2
2601,The Dawn,Alternate Vibes,4wh4E4F2g7uvuulZjaLNkB,https://open.spotify.com/track/4wh4E4F2g7uvuulZjaLNkB,,0.478,0.936,7.0,-4.888,0.0,0.0471,0.00626,0.904,0.329,0.425,175.982,audio_features,4wh4E4F2g7uvuulZjaLNkB,spotify:track:4wh4E4F2g7uvuulZjaLNkB,https://api.spotify.com/v1/tracks/4wh4E4F2g7uvuulZjaLNkB,https://api.spotify.com/v1/audio-analysis/4wh4E4F2g7uvuulZjaLNkB,409344.0,4.0,False,7
2602,The Gaudy Side of Town ,Gayngs,5oq5kmKIKbcJYLJXhBmmLh,https://open.spotify.com/track/5oq5kmKIKbcJYLJXhBmmLh,,0.688,0.42,11.0,-9.015,0.0,0.0446,0.723,0.626,0.0734,0.624,137.999,audio_features,5oq5kmKIKbcJYLJXhBmmLh,spotify:track:5oq5kmKIKbcJYLJXhBmmLh,https://api.spotify.com/v1/tracks/5oq5kmKIKbcJYLJXhBmmLh,https://api.spotify.com/v1/audio-analysis/5oq5kmKIKbcJYLJXhBmmLh,427227.0,4.0,False,1
2603,The Greatest ,KING,7MhZa55xSOwyRQTsafEEjX,https://open.spotify.com/track/7MhZa55xSOwyRQTsafEEjX,,0.649,0.52,9.0,-7.513,0.0,0.0506,0.182,0.0,0.0524,0.331,146.973,audio_features,7MhZa55xSOwyRQTsafEEjX,spotify:track:7MhZa55xSOwyRQTsafEEjX,https://api.spotify.com/v1/tracks/7MhZa55xSOwyRQTsafEEjX,https://api.spotify.com/v1/audio-analysis/7MhZa55xSOwyRQTsafEEjX,237880.0,4.0,False,1
2604,The Loco‐Motion,Little Eva,1hClDWPgajpLIFjLOkFuau,https://open.spotify.com/track/1hClDWPgajpLIFjLOkFuau,,0.636,0.893,3.0,-6.311,1.0,0.047,0.674,0.00143,0.176,0.887,129.664,audio_features,1hClDWPgajpLIFjLOkFuau,spotify:track:1hClDWPgajpLIFjLOkFuau,https://api.spotify.com/v1/tracks/1hClDWPgajpLIFjLOkFuau,https://api.spotify.com/v1/audio-analysis/1hClDWPgajpLIFjLOkFuau,148627.0,4.0,False,11
2606,Strong,Robbie Williams ,5IvhE3L0nR3dxrrmRLHdpp,https://open.spotify.com/track/5IvhE3L0nR3dxrrmRLHdpp,,0.383,0.864,3.0,-6.594,1.0,0.0564,0.00887,0.0,0.204,0.604,172.456,audio_features,5IvhE3L0nR3dxrrmRLHdpp,spotify:track:5IvhE3L0nR3dxrrmRLHdpp,https://api.spotify.com/v1/tracks/5IvhE3L0nR3dxrrmRLHdpp,https://api.spotify.com/v1/audio-analysis/5IvhE3L0nR3dxrrmRLHdpp,279293.0,4.0,False,3
2607,That s Life,Terrorvision,4K7o9PjQfh8C9plxIqFBo7,https://open.spotify.com/track/4K7o9PjQfh8C9plxIqFBo7,,0.593,0.645,2.0,-6.639,1.0,0.0251,0.00186,0.0,0.078,0.652,101.28,audio_features,4K7o9PjQfh8C9plxIqFBo7,spotify:track:4K7o9PjQfh8C9plxIqFBo7,https://api.spotify.com/v1/tracks/4K7o9PjQfh8C9plxIqFBo7,https://api.spotify.com/v1/audio-analysis/4K7o9PjQfh8C9plxIqFBo7,221027.0,4.0,False,11
2608,Honey,Atom,0jv0W8Iw4Yk0LSxYKCGJKq,https://open.spotify.com/track/0jv0W8Iw4Yk0LSxYKCGJKq,,0.361,0.98,6.0,-5.07,0.0,0.166,2.63e-05,7.26e-05,0.0799,0.359,166.233,audio_features,0jv0W8Iw4Yk0LSxYKCGJKq,spotify:track:0jv0W8Iw4Yk0LSxYKCGJKq,https://api.spotify.com/v1/tracks/0jv0W8Iw4Yk0LSxYKCGJKq,https://api.spotify.com/v1/audio-analysis/0jv0W8Iw4Yk0LSxYKCGJKq,136085.0,4.0,False,7
2609,Flesh Without Blood ,Grimes,62jc4VA6WPoANaL9Duu8db,https://open.spotify.com/track/62jc4VA6WPoANaL9Duu8db,,0.481,0.965,8.0,-2.993,1.0,0.0875,0.000903,0.000733,0.476,0.66,155.934,audio_features,62jc4VA6WPoANaL9Duu8db,spotify:track:62jc4VA6WPoANaL9Duu8db,https://api.spotify.com/v1/tracks/62jc4VA6WPoANaL9Duu8db,https://api.spotify.com/v1/audio-analysis/62jc4VA6WPoANaL9Duu8db,264524.0,4.0,False,9
2610,Walk In The Night,Paul Hardcastle,12vsNHDfX9VYtVLMve5pSG,https://open.spotify.com/track/12vsNHDfX9VYtVLMve5pSG,,0.68,0.819,11.0,-5.05,1.0,0.0281,0.0351,0.0886,0.176,0.955,111.231,audio_features,12vsNHDfX9VYtVLMve5pSG,spotify:track:12vsNHDfX9VYtVLMve5pSG,https://api.spotify.com/v1/tracks/12vsNHDfX9VYtVLMve5pSG,https://api.spotify.com/v1/audio-analysis/12vsNHDfX9VYtVLMve5pSG,307800.0,4.0,False,5
2611,All You Need Is Love,The Beatles,68BTFws92cRztMS1oQ7Ewj,https://open.spotify.com/track/68BTFws92cRztMS1oQ7Ewj,,0.4,0.48,7.0,-7.768,1.0,0.0295,0.346,3.1e-05,0.155,0.653,103.436,audio_features,68BTFws92cRztMS1oQ7Ewj,spotify:track:68BTFws92cRztMS1oQ7Ewj,https://api.spotify.com/v1/tracks/68BTFws92cRztMS1oQ7Ewj,https://api.spotify.com/v1/audio-analysis/68BTFws92cRztMS1oQ7Ewj,230387.0,4.0,False,2
2612,Mr. Tambourine Man,Bob Dylan,3RkQ3UwOyPqpIiIvGVewuU,https://open.spotify.com/track/3RkQ3UwOyPqpIiIvGVewuU,,0.39,0.31,5.0,-14.545,1.0,0.0676,0.794,0.0,0.379,0.584,177.515,audio_features,3RkQ3UwOyPqpIiIvGVewuU,spotify:track:3RkQ3UwOyPqpIiIvGVewuU,https://api.spotify.com/v1/tracks/3RkQ3UwOyPqpIiIvGVewuU,https://api.spotify.com/v1/audio-analysis/3RkQ3UwOyPqpIiIvGVewuU,330533.0,4.0,False,9
2613,Tiny Spark,Brendan Benson,1b7wetkgd3AzltSWGVehAc,https://open.spotify.com/track/1b7wetkgd3AzltSWGVehAc,,0.575,0.81,7.0,-6.114,1.0,0.0317,0.0475,0.00846,0.112,0.492,115.241,audio_features,1b7wetkgd3AzltSWGVehAc,spotify:track:1b7wetkgd3AzltSWGVehAc,https://api.spotify.com/v1/tracks/1b7wetkgd3AzltSWGVehAc,https://api.spotify.com/v1/audio-analysis/1b7wetkgd3AzltSWGVehAc,193747.0,4.0,False,2
2616,When Doves Cry,Prince,51H2y6YrNNXcy3dfc3qSbA,https://open.spotify.com/track/51H2y6YrNNXcy3dfc3qSbA,,0.729,0.989,9.0,-4.613,0.0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,audio_features,51H2y6YrNNXcy3dfc3qSbA,spotify:track:51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA,352906.0,4.0,False,1
2617,Viva Forever,Spice Girls ,6BPDPcnbDMDf58srVzbfX9,https://open.spotify.com/track/6BPDPcnbDMDf58srVzbfX9,,0.473,0.698,6.0,-8.133,1.0,0.0349,0.0648,0.231,0.136,0.21,168.817,audio_features,6BPDPcnbDMDf58srVzbfX9,spotify:track:6BPDPcnbDMDf58srVzbfX9,https://api.spotify.com/v1/tracks/6BPDPcnbDMDf58srVzbfX9,https://api.spotify.com/v1/audio-analysis/6BPDPcnbDMDf58srVzbfX9,310667.0,4.0,False,9
2618,Un thinkable  ,Alicia Keys,4JOP8ELK6AaeySe7sKe996,https://open.spotify.com/track/4JOP8ELK6AaeySe7sKe996,,0.596,0.505,7.0,-7.892,1.0,0.0619,0.732,1.97e-05,0.106,0.335,86.097,audio_features,4JOP8ELK6AaeySe7sKe996,spotify:track:4JOP8ELK6AaeySe7sKe996,https://api.spotify.com/v1/tracks/4JOP8ELK6AaeySe7sKe996,https://api.spotify.com/v1/audio-analysis/4JOP8ELK6AaeySe7sKe996,249240.0,4.0,False,2
